verb,beauty,life,sacred,good,love,magnitude,spin_magnitude,polarity
have,-0.8632692403719668,-0.9933413220392394,-0.9519128067215695,-0.7180720355969452,-0.9529804666445543,2.0154150870617213,0.8028110165404958,-4.4795758713742755
take,-0.9215244015096185,-0.9784633399492784,-0.9636887106490414,-0.7120147573654565,-1.0053829026494516,2.0622932519117634,1.0193534235992951,-4.581074112122846
make,-0.9155860473413959,-0.9970782958107466,-0.9957780974970314,-0.7426232904227219,-1.001488936899622,2.092488088312217,0.8036567170061051,-4.652554667971518
give,-0.9433857605428424,-0.9960594513645336,-0.9639154026487332,-0.7728119895053223,-0.9257966545190635,2.0653285075147116,0.6897462814671462,-4.601969258580494
fill,-0.914702284835986,-1.5607636024670815,-0.9621426393001788,-0.8483661964433323,-1.0852662318765862,2.4689896209480184,0.4478903156713327,-5.371240954923165
leave,-0.5530460259994043,-1.1028846568352926,-0.994105022655558,-0.8451347475447268,-0.9074156985742026,2.0119928580270456,0.441903237688283,-4.402586151609184
do,-0.8674576666435087,-0.973008147980413,-0.9813452125768077,-0.4727823606547614,-0.9659454677163924,1.9541852248060887,1.6286773195996018,-4.260538855571883
hold,-0.9121096848724946,-0.9956330432168534,-0.9788041627507669,-0.8620880425324615,-0.9631232009327234,2.1099973735182775,0.2703453867433115,-4.7117581343053
shake,-0.958938160008131,-0.93603804310866,-0.9989870241920656,-0.9093964606102695,-1.0092289967902017,2.1538917748817443,0.5273452140044527,-4.812588684709328
find,-0.8278316611998602,-0.9267671719279051,-0.9781479344593926,-0.7890327402726064,-0.8883541711532681,1.9780601180355595,0.7270089698613673,-4.4101336790130325
hit,-0.9424676290260463,-0.963853649065631,-0.994216144010093,-0.8117418161308378,-0.9828086590056714,2.104890131541626,0.1390240917639318,-4.69508789723828
touch,-0.6079033580046984,-0.9845702430997871,-0.9993382613922378,-0.8474155876890428,-0.8859476158075175,1.9597495689926336,0.33375675495783913,-4.3251750659932835
catch,-0.7588404997361533,-0.9459393706712868,-1.007084642100516,-0.8482172733000807,-1.0110263546577811,2.055846907217985,0.27423741744420893,-4.571108140465818
bring,-0.9036789037812398,-0.932625563275586,-0.9451214780814284,-0.767607715159256,-0.963241803564424,2.024039769187169,0.5499209880220761,-4.5122754638619345
get,-0.8895952525665245,-1.0062707764903707,-0.9903976429138999,-0.6742217135124309,-1.1199560138945432,2.119840671401281,1.2034860071135836,-4.680441399377769
turn,-0.8177416203496816,-0.9627633678111223,-0.963077019202385,-0.9039154255499368,-0.966901630547911,2.0676300115519264,0.2928765091756561,-4.614399063461037
open,-0.8963723922272596,-0.9816438968221954,-1.0009364463641397,-0.9609943015734419,-0.9972111853136548,2.164930061490867,0.11015666174049185,-4.837158222300692
cross,-0.6115044563414997,-1.2003892820390691,-1.0123696039935701,-0.8559985261778413,-0.9719212310444529,2.1253537822733146,1.383990927558535,-4.652183099596433
show,-0.9547084708610319,-1.1211031119788457,-0.986736777938514,-0.5059666307375662,-0.975134531342478,2.085396726427703,1.0186125107387334,-4.543649522858436
cover,-0.640641415286821,-0.9921453291567562,-0.9481994561365809,-0.8103828847892819,-1.0082431870879998,1.991765731715139,0.5661811109857081,-4.39961227245744
send,-0.9172353984662642,-0.9566647026451547,-0.9925769326568354,-0.9044645354059315,-1.1050815393877036,2.1865494280330653,0.6521143158606911,-4.87602310856189
wear,-0.8647155548319325,-0.9959148394682034,-0.9939555468514326,-0.9144851041836436,-1.010102575088177,2.1410551616741547,0.35696118666082327,-4.779173620423389
reach,-0.8387667597186382,-0.9712182965244753,-0.9969310564012115,-0.8193442916198149,-0.9996377685424174,2.076359054796757,0.29201079957410414,-4.625898172806558
meet,-0.8158357798581775,-0.7833460185019339,-0.8307823380961011,-0.885141053412682,-1.0914909683691119,1.9860124662649807,1.1868444875489812,-4.406596158238006
put,-0.940871629607101,-0.919043109255245,-0.9979650660501446,-0.9341007560600989,-0.9940033557488867,2.141588388752058,0.5123946494741104,-4.785983916721476
enter,-0.8982020015355233,-2.544554224948381,-0.9857374479609841,-0.9008470753365608,-0.9791207844574322,3.165976045278404,0.9314383605648766,-6.308461534238881
raise,-0.8894642760210917,-0.9492648145285959,-1.0012367408951524,-0.9304456826382265,-1.0049255188245816,2.137832983294778,0.4741026020444979,-4.7753370329076485
lose,-0.888846046325652,-0.916869767397732,-0.8821173324163627,-0.7099492011888484,-0.9578512766977201,1.9571242651212033,1.8361681805146792,-4.355633624026316
need,-0.8955025037343591,-0.9821142074469789,-0.913851132771802,-0.6721755985151138,-0.9946075886162278,2.010637021966958,1.0929320148200654,-4.458251031084481
tell,-0.915190442603646,-0.9673749571203882,-0.9173377126625495,-0.8528108974523233,-0.8678024004559707,2.0236758055628057,0.8190865554527272,-4.520516410294878
know,-0.902809902104148,-0.9701326841573874,-0.979825683623582,-0.8150217849494145,-0.9758108461082915,2.0815256020094606,1.0931562129751151,-4.643600900942824
run,-0.9355358337939595,-0.9740145727271019,-0.9953332963455552,-0.8462741793585373,-1.0048597001228645,2.1308550064683907,0.484160730587483,-4.756017582348019
see,-0.6409337411032785,-0.9269973143617414,-0.9989392324396441,-0.815967521429513,-0.9162596569231273,1.9425072525883502,0.9098081169316472,-4.2990974662573045
play,-0.7706440481662179,-1.0435085983226846,-0.9993123548635068,-0.8612741201722263,-0.8872655991440161,2.0519407837052874,0.708002079369098,-4.562004720668652
draw,-0.896277703037475,-1.0038420387260738,-1.010783669789049,-0.8816674561687488,-0.9476379143821371,2.12321720670064,0.4178354179577504,-4.740208782103484
keep,-0.8950265246506519,-0.9627806495997411,-0.9843508499190049,-0.8701375070292654,-0.9961411533143977,2.1086493623345333,0.47423883095421443,-4.708436684513061
grip,-0.7774471035826138,-1.096978691741266,-0.9067272034078139,-0.7814091725544725,-1.0454226653222995,2.0816938570608734,0.6233872587397588,-4.607984836608466
carry,-0.8377070826046165,-1.0268151667105476,-0.8720167778779079,-0.7331088590761693,-0.9838658239151854,2.0054815786881677,0.8088787447210565,-4.453513710184427
brush,-0.5224612577568523,-0.9981133149571748,-1.0173472466170095,-0.8916792218468227,-0.8964882533084757,1.9755946949069083,0.9084894775616839,-4.326089294486335
pay,-0.8760038191762674,-0.9968734099599542,-0.9932942923386956,-0.8492657572886397,-1.0041982461537695,2.115996049611288,0.94736893759057,-4.719635524917326
follow,-0.8150757001190827,-0.9842860288604166,-0.855712567568268,-0.7689366652649472,-0.9559373018852024,1.9673563739579663,0.763978524503581,-4.379948263697917
say,-0.9039881106916389,-1.0043459895640203,-1.0128230806762855,-0.8093392668199668,-0.9676969652687372,2.1078860095324834,0.7870501059288524,-4.698193413020649
break,-0.9484912031570873,-0.9652232525416728,-0.9206600260720423,-0.8152999298437156,-1.053357268724186,2.1102563551610793,0.3396954489722882,-4.703031680338704
light,0.0546269729430795,-1.04411420596822,-1.008732013998455,-0.9188562611893264,-1.0016871051399348,1.9895659684145686,0.6117536587757002,-3.9187626133528566
roll,-0.8325335985480462,-0.9117281822634739,-1.017793018891221,-0.9650138707221201,-1.006994995481369,2.122628981230383,0.3272064734564013,-4.7340636659062305
escape,-1.0311908892284316,-1.0416116094600154,-0.980495258680921,-0.9377709590543151,-0.9526962693366888,2.2128544689018907,0.669163436529389,-4.943764985760372
change,-0.9133563850363403,-1.0954579726722427,-0.9817831468965538,-0.8193762413499928,-0.9960688097435405,2.159091638198964,0.46538214087932767,-4.80604255569867
spend,-0.9495144177280915,-1.0023726338315373,-0.9340561958746048,-0.8653552614248559,-0.9989172408325488,2.12731400740178,1.1173435168926644,-4.750215749691638
lift,-0.830756036004225,-0.9412772531710871,-0.9697056161948563,-0.9166958457369345,-0.9966137650650251,2.085679196588738,0.32328812854553735,-4.655048516172128
pick,-0.9020074503375346,-0.9470285666667269,-1.0135794775115043,-0.8992528551518929,-1.0075612161332927,2.1358041121635147,1.4113182495325411,-4.769429565800952
pull,-0.8961311693231087,-0.9370996613771542,-0.11955189828187407,-0.943948239866045,-0.9838006081115569,1.8853120220364725,0.2835155182090346,-3.880531576959739
use,-0.9165797104204993,-0.9792111925431604,-1.0395576228287855,-0.8306921470691695,-0.9193499127566976,2.1011679327521384,0.5390361541596214,-4.685390585618312
set,-0.9148274163461717,-1.003204146965034,-0.940945116879757,-0.9447522415670443,-0.9042344583376976,2.106870244879247,0.7771639766932996,-4.707963380095705
strike,-0.8553973128672032,-0.9566377904070846,-0.8632898674000479,-0.7606952418569686,-0.8741034039491926,1.9325744052507707,0.7503158724785423,-4.310123616480498
throw,-0.9323037661898637,-0.8832528764492174,-1.3376180382084284,-0.9060961669429114,-0.9871094048496358,2.2877812861459077,0.8032336044801436,-5.0463802526400565
ask,-0.8872090779335875,-0.9074245103114162,-0.9965421696777986,-0.7493067654597347,-0.9767390874752283,2.0295653129656817,1.2800412383129731,-4.517221610857765
grab,-0.93375169104837,-0.9488609730980063,-0.9956070513586905,-0.9359321337912834,-1.0006696194113105,2.1542449753440795,0.8618803918571104,-4.814821468707661
cast,-0.9610047967578041,-0.9872329203526098,-0.8891771952741052,-0.9308650531995433,-0.8603830191894108,2.0725742037361776,0.8143272625765976,-4.628662984773473
work,-0.8960461243162344,-0.9568771077290621,-0.9804288240125623,-0.5721704257586071,-1.004231610478685,2.0038995131368575,0.6900134482038869,-4.409754092295151
go,-0.9106995874176301,-0.9973962019868696,-0.953642199085952,-0.8327360600452662,-0.9394664313697996,2.0759703484174294,0.6048003779515355,-4.633940479905518
contain,-0.7612717517853931,-1.011647674032916,-0.9799965282757316,-0.631230917424389,-0.9454489959509742,1.963589867292108,0.6440799466520073,-4.329595867469403
skip,-0.9890079546390123,-1.0633355040074948,-1.0076928495923219,-0.9609353040102131,-0.8645280881729238,2.189764709112543,0.508507387799631,-4.885499700421966
clear,-0.8821522481509771,-1.0069870239281724,-0.9894498907937087,-0.98009989895417,-0.9934639717928022,2.172278300966413,0.2953773088434721,-4.85215303361983
burn,-0.8710009732946478,-0.992520705979504,-0.9676582505165365,-0.8998008199719485,-1.002614151252274,2.12013659677496,0.35290385213661324,-4.733594901014911
form,-0.8867885417848624,-1.0477575056709392,-0.9828520260849396,-0.6497807045461794,-0.9321827575519421,2.0350350049047448,0.508665697773424,-4.4993615356388625
close,-0.8861062050001086,-0.9499341856405817,-1.0005937277193198,-0.960723453865266,-1.001954589033773,2.148406275552233,0.3021338882746714,-4.799312161259049
trace,-0.40368991969521173,-0.9906267542320694,-1.039063012148238,-0.6716055706683377,-0.9419975797365856,1.8874247914713818,1.0563005635586296,-4.046982836480442
want,-0.845820985914136,-0.9633839609874602,-0.8496405317650522,-0.6851296140306046,-1.0407378620027794,1.9793808918817246,1.5350023402075694,-4.384712954700031
call,-0.8092941385560297,-0.8844672753469647,-1.0001898855221938,-0.824112839944781,-0.9668919687425112,2.0128738716428187,0.92019658264148,-4.48495610811248
line,-1.2113690417084577,-0.9950833810915425,-0.991766921820425,-0.9236115130117812,-1.0122252632374904,2.3062666212421155,0.5634089352374217,-5.134056120869697
search,0.5421375550787697,-2.158745181939447,-0.9785893719331051,-0.7991482032892063,-1.1979131084204822,2.825838762948088,4.571504887747317,-4.592258310503471
stream,-1.9229854561255026,-1.0617797919761658,-0.9595209596234353,-0.5688817146390619,-0.9626065674531087,2.6450269700005653,6.638481906491225,-5.475774489817274
scan,-0.7127720100391288,-2.4310105383984255,-0.8762607266192252,-0.8285997556023988,-0.6860831245019223,2.8884211337381798,3.673602080443319,-5.534726155161101
offer,-0.8662127527286136,-0.9735035191110045,-0.8125360968145274,-0.48114679096150037,-0.9716090944820451,1.8798337719784026,1.7973399470744373,-4.105008254097691
blow,-0.9086174754245683,-1.003427702358177,-0.7539345288441195,-0.8711925345369698,-0.9588366140668128,2.0197064709997314,1.2379098571229095,-4.496008855230647
slide,-0.8047827965737023,-0.925062249421731,-1.0017096029228685,-0.908402006507799,-0.9913713980319092,2.077221485017236,0.23219328381157667,-4.6313280534580095
hear,-0.9519740606198164,-1.0043186865364742,-0.9832273394523754,-0.9007636304156543,-1.0572026138212953,2.1933306002096664,0.586765921569619,-4.897486330845616
mean,-0.893641316301629,-0.82143741471445,-0.8272996783762605,-0.6169362136160401,-0.9984011099959648,1.8802111728334139,1.431943945570632,-4.157715733004344
kill,-0.6305755924320398,-0.6343714319470234,-0.9178244412407448,-0.7151661337611175,-0.91430406340377,1.729123742135273,0.7070433509114067,-3.812241662784695
caress,0.3985318007945624,-0.7687138591434051,-0.9281917289829833,-0.8743127491300475,-0.9569565599153556,1.8142428503627888,1.0796008410206717,-3.1296430963772295
bear,-0.9481643219078031,-0.944886278860033,-0.9544495758423427,-0.8137062556336232,-0.9327928239721621,2.057916416440115,0.5172895313462048,-4.593999256215964
push,-0.9447971223063684,-0.9685244285956462,-0.9350500858598544,-0.9217963183972181,-0.981671626733812,2.125649893448193,0.45069959396651404,-4.751839581892899
feel,-0.9685514470888482,-0.9945397204532234,-0.7396405522235794,-0.7645147462015476,-0.9464319353926816,1.9885888245691798,0.9454086149788096,-4.4136784013598795
flood,-0.5371466221894943,-1.3522170507477809,-0.9936316248631778,-0.8276158368302609,-1.0305008634379729,2.202544268547061,0.3306461753311156,-4.741111998068686
stroke,-0.9631595308574596,-0.9374856360168745,-0.998497139771279,-0.9449833141808837,-0.7608646519766988,2.0677186995476102,1.772035970053844,-4.604990272803196
cause,-0.9751734547187291,-0.9886341988359442,-0.9663831948814673,-0.6846844466503401,-0.9692413082924904,2.0665136898725796,0.36900090865739926,-4.5841166033789715
answer,-0.9788989007397773,-0.9476216542372827,-0.9983334234558108,-0.8480675986811719,-1.0015676019302742,2.1389847580118837,0.3670975697321752,-4.774489179044316
cup,-0.5887956994663952,-0.9433960638169865,-1.259365313926259,-0.7572644358615112,-0.8751434014320072,2.040098748038125,6.786052661712784,-4.423964914503159
pour,-0.9585017034216307,-1.0405990756182644,-0.9408292649261231,-0.8846570824134719,-0.998263404910727,2.1600647296850752,1.3279658056579802,-4.822850531290217
provide,-0.8838257984151064,-0.996645664453072,-0.7864046945688414,-0.5555727447468213,-0.9551424426815391,1.901010554040743,1.691517456289638,-4.17759134486538
drop,-0.9257484741545302,-0.8869840163269377,-0.8947924016805482,-0.8936351857994648,-1.0280140951081946,2.073596187728969,0.3477100853273884,-4.629174173069676
exchange,-0.9834574363863237,-1.000660122825489,-0.9869588813118064,-0.8765618262505716,-1.180549973183849,2.2593485606300456,0.6618292528625546,-5.02818823995804
stand,-0.8578301022798993,-0.7152975940161665,-0.9268825485180653,-0.6728304980320967,-0.9938530163720904,1.8833690791674969,1.7731666681187235,-4.166693759218319
shoot,-0.9195195833424235,-0.9160673078001242,-0.9998561634094141,-0.8655494193724964,-0.9904199640528492,2.10107482652301,0.3923476237918811,-4.6914124379773074
block,-0.7891823527164381,-0.9985764926505836,-0.9939328419558724,-0.4980474596256772,-0.9665808594074076,1.946842603202484,0.7383933523939777,-4.246320006355979
move,-0.7974260189191171,-0.9968505143584828,-0.9461595947882684,-0.6863315706942308,-0.9898059168289208,1.99388664681747,0.5620315469753502,-4.416573615589019
pierce,-0.8049784626695803,-0.9836933106723195,-0.9393889457751772,-0.7994722943460574,-1.1984335075228196,2.1385727174095215,0.9527402951675953,-4.7259665209859545
graze,-0.4001441985256331,-0.948578543144251,-0.9817802556646811,-0.9054422194935482,-0.8934541115019403,1.9083749539179982,1.3564458626956872,-4.129399328330054
read,-0.9133802226547623,-0.9639990622650175,-0.9684171523179869,-0.8749377497405286,-0.9339386639207001,2.08306190449909,1.012731404586387,-4.654672850898995
speak,-0.9840746424466531,-0.9455238113606034,-0.9521362181443289,-0.9539987124677309,-1.02345442451152,2.174063950324569,0.38588884100285314,-4.8591878089308365
tickle,0.004779111739037001,-0.976604757633059,-0.9566191757340653,-0.9165740660195085,-0.9778154844093704,1.9144532065247584,0.5756589152253803,-3.8228343720569664
trickle,-0.9419581482600421,-0.9695584219329606,-0.9613551232199856,-0.9789981046429912,-1.004126514808047,2.172150940011089,1.2241476728361353,-4.855996312864026
cut,-0.8299914076046248,-0.9411592268167109,-0.9877950933477967,-0.791283240744582,-1.0163985797645807,2.0517311747381584,0.3303624561583601,-4.566627548278295
watch,-0.7763222131192267,-0.8844633136376099,-0.9347685540430003,-0.8532848395027054,-0.9985942044384648,1.9960033025634114,0.7327647390388762,-4.447433124741007
sweep,-0.6685108528332314,-1.9357816595956137,-0.9852835584975664,-0.9019495199338402,-0.9881475050972737,2.6372124512384363,1.0151355007267089,-5.4796730959575255
round,-0.7835260516874456,-0.8896289203724309,-0.9936168820435829,-0.8482056733308441,-1.0288704128820847,2.0422180071414338,0.24518343539105703,-4.543847940316388
love,-0.8448400092461825,-0.8418888142313474,-1.0202259989815545,-0.6797484461018913,-0.8239768159668674,1.8985226490557592,1.5211476032673483,-4.210680084527843
pass,-0.9007370639805353,-1.003864171758192,-0.9253801277724274,-0.840554193199686,-0.9908315494516235,2.0889416999376573,0.6231034411160736,-4.661367106162464
lead,-0.7752938020309443,-0.8487580229487127,-0.9975565282188373,-0.8820598527714121,-1.0002781983784865,2.0236540578868367,0.6877847969564982,-4.503946404348393
warm,-0.7070473019602377,-0.9910153029187622,-0.9640701941088917,-0.7662848871386667,-0.9686752225566487,1.9841831498251026,0.45372935780777673,-4.397092908683207
buy,-0.8321728517221683,-0.9680156742310859,-0.9217282249698361,-0.8995531264332889,-0.7802098300110796,1.974100333703517,0.9140962520261576,-4.4016797073674585
eat,-0.8381863271773511,-0.6539145662573977,-0.9893871168431104,-0.612706431737994,-1.0351151740850202,1.8857147295176828,0.8104506862307416,-4.1293096161008735
save,-0.9237754992884917,-1.023048011533958,-0.9310460147959464,-0.8942399601514388,-0.9919707298879197,2.133191534753202,0.4774297877049348,-4.764080215657755
reveal,-0.9408412900945509,-0.9779333279442115,-1.0239105688534043,-0.6712301150314448,-1.0132680957266038,2.0897824961471625,0.4067427367139763,-4.6271833976502155
own,-0.6878445998935239,-0.9144384641702806,-0.9531426964310759,-0.9430747590025272,-1.0087203768892055,2.0309396096230583,1.102354254427477,-4.507220896386613
sting,-0.012317627342864568,-0.6242394730870036,-0.9951864414265237,-0.9098266752584843,-1.000895713651447,1.7915913332901094,1.097483088091276,-3.5424659307663235
squeeze,-0.8728456899239325,-0.9910049009046406,-0.8325300807505753,-0.952003745347203,-0.9313911797612059,2.0520373554792894,1.2648558252114233,-4.579775596687557
circle,-0.739426149159225,-1.1094145882888915,-0.9910164331301811,-0.9642184796105799,-0.8148021064087604,2.0864527501320054,0.6196373299016512,-4.618877756597638
begin,-0.8864661797903773,-0.9740469791975823,-0.9422166238723083,-0.7520611515384562,-0.9415085784667149,2.018513401213174,0.43717084352122393,-4.4962995128654395
reflect,-0.9861817927870383,-1.0008795947029523,-0.992102611318624,-0.3043239685236715,-1.1489690671011292,2.090771407369986,0.4261766077573338,-4.4324570344334155
let,-1.0422255395142386,-0.9859102972605173,-1.0108271013097005,-0.9518992407947406,-0.9227699425105977,2.1994638323075137,0.6114033359871288,-4.913632121389795
drive,-0.9150004602630781,-1.009784542270506,-0.957831213290885,-0.8109661632332283,-0.9444264845784435,2.0794082812008825,0.2891416474362809,-4.6380088636361405
match,-0.736490798933692,-0.7451838615753399,-0.9008020231432642,-0.6365997781792495,-0.7959246783317588,1.716950011072164,0.5980472498367624,-3.8150011401633046
clutch,-0.9410723197026962,-0.9617617107414269,-0.8620008356181235,-0.9816770498584387,-1.0016389257266567,2.1261746183027515,1.2932505447329825,-4.748150841647342
share,-0.9261802758547918,-1.0086760570683166,-0.968507351637618,-0.8623010103492144,-0.9098051485334933,2.09393223921138,1.3346285490453431,-4.675469843443434
illuminate,2.5967129836451983,-2.7781296360023235,-0.8825200055609614,-0.656384573264693,-0.9803029004501769,4.07818570429697,2.969960519945069,-2.7006241316329564
betray,-0.9900510005177661,-0.9886285147537245,-1.0034867433513275,-0.8066839172595828,-0.9872119825845784,2.1424050524623204,0.6538479714062829,-4.776062158466979
lower,-0.8899983838940292,-0.9619316893332134,-0.97497391918315,-0.9059547688006169,-0.984111107111839,2.1112111584628983,0.8409165751789079,-4.716969868322849
receive,-0.8538544453964318,-1.1061418831440883,-0.8418947637895933,-0.829915794752949,-1.0380703405128913,2.1042229756131126,1.6155871088306553,-4.669877227595954
grow,-0.8955722278216572,-0.9657544398475308,-0.8979182810442925,-0.7012367686532159,-0.4068164423437354,1.7883570997529044,4.556772038567555,-3.867298159710432
approach,-0.8784678822651762,-0.9132255075038657,-0.9819498015428869,-0.9488515931822687,-0.959088066854808,2.0952520913591983,0.3066885236157365,-4.681582851349006
flash,-0.8141997507244213,-0.9950862662786307,-0.7633169156164834,-0.9670545308770503,-0.7987258218406038,1.9516475166502523,0.9397134337248993,-4.33838328533719
place,-0.9571484939735035,-0.9059073250156178,-0.9506708775403614,-0.9458772570177305,-0.6588832448732044,1.992332139517427,1.215654487520996,-4.418487198420418
hide,-0.3703430288562536,-0.8844012310303448,-1.002056023659521,-0.7923116181483404,-1.1036495531813857,1.9414519843439493,0.7982178347777397,-4.152761454875845
split,0.23110222462886143,-0.992549792987862,-1.0839400605884504,-0.8658582229798464,-1.0607146656892315,2.0219583203041513,1.5347985537667679,-3.771960517616529
include,-0.7254921155769172,-1.1255605965254407,-0.966172125363095,-0.4652998212153846,1.1865608397710794,2.0859397383781095,0.613165381419648,-2.095963818909758
curve,-0.3882624276953289,-1.09962670294759,-0.9691951202408747,-0.9924388229297816,-0.9561117629452848,2.048987628121403,1.3707864334296156,-4.40563483675886
hand,-0.9493787371162192,-0.9881980744041358,-1.016710593288995,-0.9048214879396937,-0.9108155741455451,2.135378839080778,0.6074419057266702,-4.769924466894588
press,-0.7822833644071984,-1.0256088449380028,-0.9770353244711957,-0.976135627287428,-0.22313822069230227,1.9029109854907535,0.5499077496631958,-3.984201381796127
wave,-0.9737644225668054,-0.9488901329072752,-0.9952768991491574,-0.944771651975514,-0.9398452933871098,2.1482756785021926,0.5118071037695147,-4.802548399985861
beat,-0.6359858931933977,-0.764327383717203,-0.9067107401700834,-0.772743188178789,-0.8280392646750405,1.758857535703523,1.06392227500844,-3.9078064699345134
grasp,-0.9218380052172096,-0.9906737133730548,-1.080278404094208,-0.845598054199652,-1.1018638705418733,2.219766024394302,0.6217899041969108,-4.940252047425997
lay,-0.9374581288781199,-0.9559911514090531,-0.7145646167441176,-0.8477203691260646,-1.0136713593679674,2.0123391527048504,0.4183452418525687,-4.469405625525322
serve,-0.9239582535692201,-0.9645809399676165,-0.8649799664123123,-0.7949065102852872,-1.0240865960346892,2.0525436177226513,0.9711584422501011,-4.5725122662691255
miss,-0.8807377822319105,-1.0224956723267207,-1.114511333370219,-0.7459492505466884,-0.8249177096304634,2.0737071792423962,1.1714389494033637,-4.588611748106002
rub,-0.8556997823171837,-0.9442348087843572,-1.000009125222205,-0.9671403769829067,-0.77364448698482,2.0390453754485285,0.5423671606808312,-4.540728580291473
write,-0.898766625823859,-0.9678182216598339,-0.9217977218043233,-0.8547192699085622,-1.0218562491559393,2.0901913362386995,1.0635379813124506,-4.664958088352518
produce,-0.8897562034063958,-1.0024385952936763,-0.9746379797156642,-0.7690392448262159,-0.9841015373545453,2.0751736376132985,0.406636773073693,-4.619973560596498
join,-0.9072295321718344,-1.0284662583855153,-0.9901320600390513,-0.703951883751722,-0.6282380924551665,1.9368534070622658,0.44953435496234323,-4.2580178268032896
stop,-0.853009613037892,-0.9819297118273763,-0.9730658768742373,-0.7379424575425919,-0.784552304030997,1.9490382110276399,0.716118501529821,-4.330499963313095
start,-0.8748346725410275,-0.9760243415078306,-0.48415462500550055,-0.9073262908759343,-0.904655436125926,1.8957867434489692,0.8202106459711543,-4.146995366056219
require,-0.9030505444572714,-0.9985082407960499,-0.7482455657577604,-0.8277915601916229,-1.0861681106120842,2.058492276180179,1.4212613326243848,-4.563764021814789
stir,-0.9642949542288495,-1.7908498867723783,-0.7710832710464481,-0.6397621499500437,-1.023666608948962,2.487723140017257,0.634349726530837,-5.189656870946681
stain,-0.6941643939583837,-1.0191623475524458,-0.9709733788758533,-1.113687395780378,-0.9743030083319708,2.157060816611025,0.4445686716623587,-4.772290524499032
justify,-0.04002792504214847,-0.9998305502995926,-0.8020308858402929,-0.8800376260153844,-1.0267301272976233,1.8636410285891212,2.9130394424263715,-3.7486571144950416
choose,-0.848537433695157,-0.88698478055027,-0.9116777336137344,-0.8803551852995919,-0.997387471919906,2.0267513633160603,0.4486707158990693,-4.524942605078659
penetrate,-0.6976747566778353,-0.9196908686408192,-0.6230741621315579,-0.7986332979292643,-1.0896831886215206,1.8830898458672813,1.6848990071390255,-4.128756274000997
spread,-0.9457827054677456,-0.8948368301391658,-0.9736890129351196,-0.9033641250152825,-0.9636357005039965,2.0947478793631515,0.5798825260898605,-4.6813083740613095
seek,-0.7176366700123453,-0.9773663458731989,-0.9133035916595559,-0.3620174492521362,-0.5691800286289721,1.6611421833435218,0.9899958622428965,-3.5395040854262083
travel,-0.6106476845797604,-0.9873999885254477,-1.07485334837016,-0.16976127138047814,-0.9932125818478459,1.8757529620199997,2.1503380825820466,-3.835874874703693
create,-0.8105612481938622,-0.8127994367155083,-0.7599497309426042,-0.7415192719873765,-1.0560175483612733,1.88684921181689,1.0424587369718032,-4.180847236200624
interrupt,-0.9578777834927009,-1.0442108564630574,-0.9213077463602968,-0.912237572640472,-1.0442618319142971,2.1861780089685454,0.4484769494509195,-4.879895790870824
twist,-0.8726389706605634,-0.8189582594715352,-0.995897267872933,-0.886229280090935,-1.0729706653850914,2.0882220087185104,0.6729359063429236,-4.646694443481058
kick,-0.8629319103308215,-0.866695849646687,-1.0149061990067794,-0.9079691962015424,-1.020633341167391,2.095697556613971,0.3843954524996894,-4.673136496353221
lick,-0.9931303597291303,-0.9637879934749141,-0.9848837467441961,-0.9827516841514017,-1.0351888557531863,2.2186951214984463,0.6793220381269978,-4.959742639852829
commit,-1.035745245074152,-0.984944342862194,-0.2112572608530654,-0.9944507180317486,-0.8930151661019156,1.9682280149858111,0.5931615634542828,-4.119412732923075
